W0821 00:11:52.264151   713 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.0, Runtime API Version: 10.1
W0821 00:11:52.268267   713 device_context.cc:422] device: 0, cuDNN Version: 7.6.
Train: [7][70/98]	BT 0.965 (0.965)	DT 0.000 (0.018)	loss 8.918 (8.889)
Train: [7][80/98]	BT 0.964 (0.965)	DT 0.000 (0.016)	loss 8.757 (8.877)
Train: [7][90/98]	BT 0.967 (0.965)	DT 0.000 (0.014)	loss 8.809 (8.864)
epoch 7, total time 94.49
Train: [8][10/98]	BT 0.972 (0.971)	DT 0.000 (0.126)	loss 8.787 (8.744)
Train: [8][20/98]	BT 0.960 (0.968)	DT 0.000 (0.063)	loss 8.900 (8.778)
Train: [8][30/98]	BT 0.972 (0.967)	DT 0.000 (0.042)	loss 8.733 (8.773)
Train: [8][40/98]	BT 0.959 (0.966)	DT 0.000 (0.032)	loss 8.847 (8.765)
Train: [8][50/98]	BT 0.965 (0.966)	DT 0.000 (0.025)	loss 8.653 (8.756)
Train: [8][60/98]	BT 0.967 (0.966)	DT 0.000 (0.021)	loss 8.733 (8.748)
Train: [8][70/98]	BT 0.973 (0.966)	DT 0.000 (0.018)	loss 8.648 (8.746)
Train: [8][80/98]	BT 0.963 (0.966)	DT 0.000 (0.016)	loss 8.664 (8.736)
Train: [8][90/98]	BT 0.963 (0.966)	DT 0.000 (0.014)	loss 8.675 (8.732)
epoch 8, total time 94.57
Train: [9][10/98]	BT 0.970 (0.958)	DT 0.000 (0.122)	loss 8.455 (8.663)
Train: [9][20/98]	BT 0.963 (0.961)	DT 0.000 (0.061)	loss 8.679 (8.666)
Train: [9][30/98]	BT 0.964 (0.965)	DT 0.000 (0.041)	loss 8.626 (8.670)
Train: [9][40/98]	BT 0.974 (0.966)	DT 0.000 (0.031)	loss 8.503 (8.647)
Train: [9][50/98]	BT 0.960 (0.966)	DT 0.000 (0.025)	loss 8.563 (8.648)
Train: [9][60/98]	BT 0.964 (0.966)	DT 0.000 (0.020)	loss 8.725 (8.644)
Train: [9][70/98]	BT 0.972 (0.966)	DT 0.000 (0.018)	loss 8.651 (8.639)
Train: [9][80/98]	BT 0.963 (0.966)	DT 0.000 (0.015)	loss 8.576 (8.640)
Train: [9][90/98]	BT 0.971 (0.966)	DT 0.000 (0.014)	loss 8.683 (8.638)
epoch 9, total time 94.56
Train: [10][10/98]	BT 0.973 (0.959)	DT 0.000 (0.122)	loss 8.620 (8.547)
Train: [10][20/98]	BT 0.965 (0.962)	DT 0.000 (0.061)	loss 8.576 (8.578)
Train: [10][30/98]	BT 0.965 (0.963)	DT 0.000 (0.041)	loss 8.661 (8.580)
Train: [10][40/98]	BT 0.970 (0.964)	DT 0.000 (0.031)	loss 8.453 (8.574)
Train: [10][50/98]	BT 0.963 (0.965)	DT 0.000 (0.025)	loss 8.594 (8.571)
Train: [10][60/98]	BT 0.970 (0.965)	DT 0.000 (0.021)	loss 8.570 (8.566)
Train: [10][70/98]	BT 0.960 (0.965)	DT 0.000 (0.018)	loss 8.593 (8.564)
Train: [10][80/98]	BT 0.966 (0.965)	DT 0.000 (0.015)	loss 8.502 (8.562)
Train: [10][90/98]	BT 0.962 (0.965)	DT 0.000 (0.014)	loss 8.536 (8.558)
epoch 10, total time 94.47
Train: [11][10/98]	BT 0.970 (0.958)	DT 0.000 (0.127)	loss 8.551 (8.491)
Train: [11][20/98]	BT 0.965 (0.962)	DT 0.000 (0.064)	loss 8.587 (8.519)
Train: [11][30/98]	BT 0.964 (0.963)	DT 0.000 (0.042)	loss 8.504 (8.517)
Train: [11][40/98]	BT 0.963 (0.963)	DT 0.000 (0.032)	loss 8.376 (8.518)
Train: [11][50/98]	BT 0.966 (0.964)	DT 0.000 (0.025)	loss 8.426 (8.515)
Train: [11][60/98]	BT 0.967 (0.964)	DT 0.000 (0.021)	loss 8.486 (8.518)
Train: [11][70/98]	BT 0.963 (0.964)	DT 0.000 (0.018)	loss 8.475 (8.513)
Train: [11][80/98]	BT 0.960 (0.964)	DT 0.000 (0.016)	loss 8.338 (8.506)
Train: [11][90/98]	BT 0.966 (0.964)	DT 0.000 (0.014)	loss 8.572 (8.499)
epoch 11, total time 94.40
Train: [12][10/98]	BT 0.971 (0.961)	DT 0.000 (0.132)	loss 8.367 (8.399)
Train: [12][20/98]	BT 0.962 (0.962)	DT 0.000 (0.066)	loss 8.443 (8.423)
Train: [12][30/98]	BT 0.964 (0.963)	DT 0.000 (0.044)	loss 8.323 (8.428)
Train: [12][40/98]	BT 0.961 (0.964)	DT 0.000 (0.033)	loss 8.536 (8.423)
Train: [12][50/98]	BT 0.961 (0.964)	DT 0.000 (0.027)	loss 8.493 (8.428)
Train: [12][60/98]	BT 0.962 (0.965)	DT 0.000 (0.022)	loss 8.258 (8.427)
Train: [12][70/98]	BT 0.968 (0.965)	DT 0.000 (0.019)	loss 8.463 (8.430)
Train: [12][80/98]	BT 0.961 (0.965)	DT 0.000 (0.017)	loss 8.390 (8.432)
Train: [12][90/98]	BT 0.968 (0.965)	DT 0.000 (0.015)	loss 8.387 (8.428)
epoch 12, total time 94.47
Train: [13][10/98]	BT 0.970 (0.959)	DT 0.000 (0.122)	loss 8.300 (8.322)
Train: [13][20/98]	BT 0.959 (0.962)	DT 0.000 (0.061)	loss 8.364 (8.355)
Train: [13][30/98]	BT 0.967 (0.962)	DT 0.000 (0.041)	loss 8.350 (8.355)
Train: [13][40/98]	BT 0.963 (0.963)	DT 0.000 (0.031)	loss 8.277 (8.354)
Train: [13][50/98]	BT 0.968 (0.963)	DT 0.000 (0.025)	loss 8.322 (8.351)
Train: [13][60/98]	BT 0.967 (0.963)	DT 0.000 (0.020)	loss 8.253 (8.344)
Train: [13][70/98]	BT 0.970 (0.964)	DT 0.000 (0.018)	loss 8.273 (8.346)
Train: [13][80/98]	BT 0.963 (0.964)	DT 0.000 (0.015)	loss 8.362 (8.339)
Train: [13][90/98]	BT 0.970 (0.964)	DT 0.000 (0.014)	loss 8.315 (8.339)
epoch 13, total time 94.40
Train: [14][10/98]	BT 0.976 (0.959)	DT 0.000 (0.126)	loss 8.412 (8.329)
Train: [14][20/98]	BT 0.961 (0.962)	DT 0.000 (0.063)	loss 8.326 (8.314)
Train: [14][30/98]	BT 0.962 (0.963)	DT 0.000 (0.042)	loss 8.334 (8.302)
Train: [14][40/98]	BT 0.962 (0.964)	DT 0.000 (0.032)	loss 8.194 (8.297)
Train: [14][50/98]	BT 0.968 (0.964)	DT 0.000 (0.025)	loss 8.283 (8.303)
Train: [14][60/98]	BT 0.964 (0.964)	DT 0.000 (0.021)	loss 8.445 (8.302)
Train: [14][70/98]	BT 0.963 (0.964)	DT 0.000 (0.018)	loss 8.045 (8.298)
Train: [14][80/98]	BT 0.968 (0.964)	DT 0.000 (0.016)	loss 8.292 (8.297)
Train: [14][90/98]	BT 0.966 (0.965)	DT 0.000 (0.014)	loss 8.275 (8.293)
epoch 14, total time 94.48
Train: [15][10/98]	BT 0.969 (0.961)	DT 0.000 (0.127)	loss 8.289 (8.208)
Train: [15][20/98]	BT 0.966 (0.963)	DT 0.000 (0.064)	loss 8.160 (8.230)
Train: [15][30/98]	BT 0.962 (0.963)	DT 0.000 (0.043)	loss 8.238 (8.239)
Train: [15][40/98]	BT 0.968 (0.964)	DT 0.000 (0.032)	loss 8.240 (8.239)
Train: [15][50/98]	BT 0.961 (0.965)	DT 0.000 (0.026)	loss 8.179 (8.244)
Train: [15][60/98]	BT 0.967 (0.965)	DT 0.000 (0.021)	loss 8.326 (8.253)
Train: [15][70/98]	BT 0.964 (0.965)	DT 0.000 (0.018)	loss 8.111 (8.250)
Train: [15][80/98]	BT 0.969 (0.965)	DT 0.000 (0.016)	loss 8.226 (8.253)
Train: [15][90/98]	BT 0.960 (0.965)	DT 0.000 (0.014)	loss 8.196 (8.255)
epoch 15, total time 94.46
Train: [16][10/98]	BT 0.958 (0.959)	DT 0.000 (0.130)	loss 8.168 (8.234)
Train: [16][20/98]	BT 0.966 (0.961)	DT 0.000 (0.065)	loss 8.169 (8.206)
Train: [16][30/98]	BT 0.965 (0.962)	DT 0.000 (0.044)	loss 8.418 (8.243)
Train: [16][40/98]	BT 0.969 (0.963)	DT 0.000 (0.033)	loss 8.215 (8.236)
Train: [16][50/98]	BT 0.962 (0.963)	DT 0.000 (0.026)	loss 8.340 (8.240)
Train: [16][60/98]	BT 0.962 (0.965)	DT 0.000 (0.022)	loss 8.298 (8.237)
Train: [16][70/98]	BT 0.973 (0.965)	DT 0.000 (0.019)	loss 8.325 (8.235)
Train: [16][80/98]	BT 0.968 (0.965)	DT 0.000 (0.016)	loss 8.204 (8.233)
Train: [16][90/98]	BT 0.960 (0.965)	DT 0.000 (0.015)	loss 8.195 (8.226)
epoch 16, total time 94.46
Train: [17][10/98]	BT 0.977 (0.961)	DT 0.000 (0.124)	loss 8.236 (8.190)
